subj,b_name,a_name,b_offA,a_on_c,a_off_c,rolling_b_on_c,rolling_b_off_c
p2np_s124,doos,nagel,436.9314138,34.48353865,67.38789014,208.546879,334.136503
p2np_s124,baby,panda,499.041589,84.11463065,-41.23332986,244.0078511,173.926195
p2np_s124,cactus,rits,942.2504097,-79.97942435,-19.54179786,226.7034648,119.535761
p2np_s124,ladder,schaar,520.9217982,-93.20905435,-61.84648486,249.8615631,130.192359
p2np_s124,tandarts,schaduw,412.0613013,-168.5355244,-36.79339986,283.6329384,501.571891
p2np_s124,wortel,vlieg,313.2484844,-133.9487974,-150.5433999,234.545951,185.062391
p2np_s124,lamp,zebra,300.0637475,41.10789965,108.7207021,227.0184448,427.382474
p2np_s124,doolhof,zee,607.8893031,-48.85488735,-98.65678186,303.8651577,-106.124171
p2np_s125,duif,hemd,200.3119986,-20.50488735,-60.65985286,-109.9922745,89.63153197
p2np_s125,duivel,herder,127.3420199,-38.56322035,-52.78658886,-70.80837101,-6.548364034
p2np_s125,been,mand,212.4269336,112.8524846,16.27827814,-127.0092572,131.61761
p2np_s125,kikker,masker,118.16129,39.72150165,66.25125814,-84.18997481,237.492409
p2np_s125,kip,naald,323.9998383,226.8459456,215.5473231,35.22183069,-104.600177
p2np_s125,doos,nagel,116.0410548,34.48353865,67.38789014,-121.0553068,260.442555
p2np_s125,wolf,ridder,92.6138814,215.4395566,286.9909401,-96.59034881,158.803962
p2np_s125,cactus,rits,128.720997,-79.97942435,-19.54179786,-51.75964981,-110.144287
p2np_s125,ladder,schaar,178.9678381,-93.20905435,-61.84648486,-100.3195134,-69.79065303
p2np_s125,tandarts,schaduw,149.5896938,-168.5355244,-36.79339986,40.17047629,92.76064997
p2np_s125,wortel,vlieg,199.8593262,-133.9487974,-150.5433999,-85.49919111,114.425274
p2np_s125,kast,vliegtuig,-63.83148005,-85.49030435,153.3887581,-57.07731621,277.293998
p2np_s125,doolhof,zee,278.270046,-48.85488735,-98.65678186,44.22921489,-59.90376503
p2np_s126,duif,hemd,130.6062618,-20.50488735,-60.65985286,-71.02474821,144.233746
p2np_s126,duivel,herder,140.7255739,-38.56322035,-52.78658886,-148.2998656,86.42816097
p2np_s126,been,mand,110.4768517,112.8524846,16.27827814,-95.29502761,8.152925966
p2np_s126,kip,naald,107.8557614,226.8459456,215.5473231,-64.84667791,66.43992297
p2np_s126,doos,nagel,97.4997341,34.48353865,67.38789014,-185.0489229,212.449997
p2np_s126,baby,panda,86.20343494,84.11463065,-41.23332986,-133.7313412,60.63399797
p2np_s126,wolf,ridder,52.47154019,215.4395566,286.9909401,-51.87087061,237.319783
p2np_s126,cactus,rits,105.110828,-79.97942435,-19.54179786,-145.683651,253.244863
p2np_s126,ladder,schaar,123.0801025,-93.20905435,-61.84648486,-161.3003386,210.911833
p2np_s126,wortel,vlieg,113.0784164,-133.9487974,-150.5433999,-107.2952681,74.58018297
p2np_s126,kast,vliegtuig,-21.24318767,-85.49030435,153.3887581,-92.51497891,-0.354267034
p2np_s126,doolhof,zee,205.4113693,-48.85488735,-98.65678186,-102.9738738,101.589402
p2np_s127,duif,hemd,212.1311706,-20.50488735,-60.65985286,10.24346749,100.52122
p2np_s127,duivel,herder,302.3376699,-38.56322035,-52.78658886,98.92560349,19.44045897
p2np_s127,been,mand,288.8041905,112.8524846,16.27827814,23.77500779,144.212042
